PTS,AST,REB,STL,BLK,TOV,PF,FGA,FG3A,PLAYER_ID,PLAYER_NAME,SEASON
5.115384615384615,1.7692307692307692,1.2307692307692308,0.2692307692307692,0.0,0.5384615384615384,0.5769230769230769,5.269230769230769,2.1923076923076925,201985,AJ Price,2014-15
11.634146341463415,3.182926829268293,2.024390243902439,0.6585365853658537,0.18292682926829268,1.9146341463414633,2.3048780487804876,9.963414634146341,3.817073170731707,201166,Aaron Brooks,2014-15
5.170212765957447,0.7021276595744681,3.595744680851064,0.44680851063829785,0.46808510638297873,0.8085106382978723,1.7659574468085106,4.425531914893617,1.0212765957446808,203932,Aaron Gordon,2014-15
6.65625,0.9375,5.0625,0.59375,0.28125,1.375,2.75,6.875,0.28125,203940,Adreian Payne,2014-15
15.210526315789474,3.210526315789474,7.157894736842105,0.8947368421052632,1.2894736842105263,1.3157894736842106,1.5921052631578947,12.697368421052632,0.47368421052631576,201143,Al Horford,2014-15
16.646153846153847,1.7384615384615385,8.430769230769231,0.7230769230769231,1.2923076923076924,1.0461538461538462,2.1384615384615384,15.538461538461538,0.07692307692307693,2744,Al Jefferson,2014-15
5.5675675675675675,0.7972972972972973,4.621621621621622,0.9459459459459459,0.8378378378378378,0.7432432432432432,1.8513513513513513,4.824324324324325,1.6756756756756757,202329,Al-Farouq Aminu,2014-15
7.364864864864865,1.1216216216216217,2.7567567567567566,0.7567567567567568,0.06756756756756757,0.8108108108108109,2.0,5.945945945945946,2.8378378378378377,101187,Alan Anderson,2014-15
13.851851851851851,3.037037037037037,4.222222222222222,0.6296296296296297,0.18518518518518517,1.9259259259259258,2.3703703703703702,11.11111111111111,2.5185185185185186,202692,Alec Burks,2014-15
0.8,0.2,0.2,0.0,0.0,0.0,0.2,0.8,0.0,203945,Alex Kirk,2014-15
6.260869565217392,0.463768115942029,6.579710144927536,0.4927536231884058,1.5217391304347827,1.0724637681159421,3.0869565217391304,5.115942028985507,0.043478260869565216,203458,Alex Len,2014-15
10.333333333333334,2.5238095238095237,2.357142857142857,0.7142857142857143,0.14285714285714285,1.1428571428571428,1.1428571428571428,7.976190476190476,3.3095238095238093,203144,Alexey Shved,2014-15
6.514705882352941,0.6911764705882353,4.632352941176471,0.3088235294117647,0.75,1.0147058823529411,2.2205882352941178,4.838235294117647,0.0,201582,Alexis Ajinca,2014-15
3.2941176470588234,0.7647058823529411,1.4313725490196079,0.37254901960784315,0.29411764705882354,0.29411764705882354,1.4509803921568627,3.0,1.6666666666666667,203459,Allen Crabbe,2014-15
4.462962962962963,0.46296296296296297,1.7407407407407407,0.6481481481481481,0.12962962962962962,0.6111111111111112,1.0740740740740742,3.4444444444444446,0.6481481481481481,202087,Alonzo Gee,2014-15
11.525423728813559,0.7627118644067796,5.576271186440678,0.4915254237288136,0.6440677966101694,1.3220338983050848,2.7288135593220337,8.305084745762711,0.06779661016949153,2405,Amar'e Stoudemire,2014-15
9.253333333333334,1.56,6.08,0.5866666666666667,0.7866666666666666,1.4666666666666666,3.0,6.92,0.6133333333333333,101161,Amir Johnson,2014-15
9.807692307692308,1.3461538461538463,6.538461538461538,0.7307692307692307,0.6153846153846154,1.3461538461538463,2.230769230769231,7.6923076923076925,0.07692307692307693,2760,Anderson Varejao,2014-15
0.75,0.25,0.5,0.0,0.0,0.25,0.75,1.5,1.5,203958,Andre Dawkins,2014-15
13.78048780487805,0.6707317073170732,13.463414634146341,0.8902439024390244,1.8658536585365855,1.4634146341463414,3.475609756097561,11.71951219512195,0.024390243902439025,203083,Andre Drummond,2014-15
7.8441558441558445,2.961038961038961,3.3376623376623376,1.155844155844156,0.3246753246753247,1.1428571428571428,1.2987012987012987,6.441558441558442,2.7532467532467533,2738,Andre Iguodala,2014-15
4.382716049382716,3.506172839506173,1.8888888888888888,0.3950617283950617,0.07407407407407407,1.2839506172839505,1.271604938271605,3.580246913580247,0.41975308641975306,1889,Andre Miller,2014-15
3.4029850746268657,1.044776119402985,3.8059701492537314,0.7910447761194029,0.43283582089552236,0.6865671641791045,2.1044776119402986,3.0,1.2686567164179106,203460,Andre Roberson,2014-15
14.827586206896552,1.5862068965517242,4.379310344827586,0.06896551724137931,0.9310344827586207,1.4482758620689655,1.8275862068965518,12.448275862068966,1.4137931034482758,200745,Andrea Bargnani,2014-15
0.42857142857142855,0.14285714285714285,1.1428571428571428,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,1905,Andrei Kirilenko,2014-15
6.298507462686567,2.6865671641791047,8.104477611940299,0.582089552238806,1.6865671641791045,1.5820895522388059,2.8059701492537314,5.298507462686567,0.0,101106,Andrew Bogut,2014-15
4.85,0.55,2.05,0.15,0.3,0.6,1.275,4.75,1.025,203094,Andrew Nicholson,2014-15
16.914634146341463,2.073170731707317,4.560975609756097,1.048780487804878,0.6097560975609756,2.158536585365854,2.317073170731707,13.865853658536585,1.5365853658536586,203952,Andrew Wiggins,2014-15
5.228070175438597,0.8421052631578947,3.789473684210526,0.47368421052631576,0.2807017543859649,0.631578947368421,1.5263157894736843,5.2105263157894735,0.40350877192982454,203461,Anthony Bennett,2014-15
24.352941176470587,2.1911764705882355,10.235294117647058,1.4705882352941178,2.9411764705882355,1.3970588235294117,2.073529411764706,17.63235294117647,0.17647058823529413,203076,Anthony Davis,2014-15
10.675675675675675,0.8108108108108109,2.635135135135135,0.7297297297297297,0.14864864864864866,0.5135135135135135,1.8243243243243243,8.31081081081081,4.391891891891892,201627,Anthony Morrow,2014-15
