Hybrid Offensive RAPM,Possessions Played
1.8539605646048916,1311
1.8539605646048916,1311
0.8345873497067247,1716
0.8345873497067247,1716
1.2213007219715777,1226
1.2213007219715777,1226
1.596204826604896,3702
0.9821738626968538,1617
0.9821738626968538,1617
-1.1493179463265164,2817
0.6453319285144493,2608
0.2767314884395631,1219
1.3874058001418943,1478
1.3874058001418943,1478
-1.7864939470522356,1223
2.724522123244651,3733
1.7755564225956455,2892
-2.4010964837379323,3648
0.5049905015401192,3033
1.995195936677672,4008
0.3674869822498264,3202
-0.3335373388706957,1976
0.2855456136295269,2042
-0.6125009790504392,1543
0.4165369372206451,2573
-0.2244490251757975,2214
1.1028222407582362,2574
-0.5708047367768647,1247
0.9088264826416692,1688
0.7184415271927784,1236
0.1081046015152057,1428
1.3315473634652395,2102
-0.7720200950453302,1248
2.7904124106885253,1735
-0.7841523940379544,1292
2.2345803324755016,2376
-0.0946169990544752,2264
-2.1000818527187817,1515
-0.9281543088654168,3321
0.258328946717421,3866
1.526401021453109,1460
0.484187180634311,5046
2.4241537565361444,1886
2.8712255390974826,2056
0.3887905013716571,2422
-0.0988212977973595,1830
-0.1222773876785253,3193
0.7994020375579977,3693
-2.094584068036009,1744
-1.43437989730193,1243
-0.2875653842786412,1288
0.3612972334431336,1307
-1.04044578253973,2246
0.8161148971867337,2500
0.8161148971867337,2500
0.8161148971867337,2500
0.8161148971867337,2500
-0.9859547946480366,1978
-0.9859547946480366,1978
1.8167531258247325,1582
1.8167531258247325,1582
-0.2353811542050879,2512
-0.2353811542050879,2512
-0.628474755561699,2074
-0.628474755561699,2074
0.7787300083586017,1405
0.7787300083586017,1405
0.1583750675386304,2309
0.1583750675386304,2309
0.6009774379310249,1543
0.8918825238791391,2167
0.437520876109022,2429
0.8651784837304123,4506
0.4169666363621749,4287
-0.286595388785872,4200
3.4307739255666423,2538
0.372075484947259,5245
1.5690393021247442,4968
0.959312346761378,3259
0.3450782781959676,4109
-1.36857287468832,2478
-0.2424572157672435,2838
-0.5351698661222883,1250
-0.6786560064021842,1726
-2.000730378237442,1415
1.8293276192555816,1285
1.0390850780660337,2718
-0.412635629851958,2214
1.616144704216153,1316
-0.712273644850361,1950
1.636463146455308,1432
-3.384449973006032,1847
-0.1972830409928531,2648
-0.5307600564061401,1518
-1.1608881057822436,1418
-0.3247836442756318,3541
2.7668131622614114,2177
0.4239777016522715,2623
-0.2117030706089896,1492
1.2448948056051643,2801
-0.2242048250277474,1640
1.5528040035359616,1376
0.5468695600915846,2210
1.057909223656852,2556
2.132016386922853,3522
0.7498892967084275,1904
-2.290698232915785,1482
0.5753264742297354,2055
0.2486132030095021,1297
-0.2826736665057143,1421
0.8103093127760164,1435
-1.578523962287648,2119
0.837184504798766,1329
-0.5484938759959208,1263
-1.3753993020798083,1625
1.241571704183583,1968
1.514350379920114,4541
1.7171335426829335,3130
-1.7789085855422753,4443
0.9176420558636886,4845
0.8035564057836895,2785
-2.3431115465664987,4259
3.0701690398424697,4991
-1.3128577023926185,2892
3.0314698423283786,3218
-0.155642197429675,4581
1.2061030424538353,2284
-1.7023770873237427,2105
-0.0190498624878685,1937
0.6547726623231706,2400
0.5202356530948424,2207
-0.0095563571796437,2083
0.0657079897105643,1250
-1.8735788684590071,2457
2.8309397279453554,1824
-1.1533791298094958,1476
0.7028679910523106,1266
-0.3299325139764326,1385
-2.249691866758102,1275
-0.4634298063972294,1452
1.3287929942604029,2223
0.7116847910912653,2668
1.5105535352802928,1886
0.2600911692185544,1892
0.7039491154324188,1243
-0.7082375063616934,1549
3.4351216459797245,1486
-0.9275635388490108,2084
0.3660223768214315,3952
-1.9064518837683384,3506
1.4430331153528977,4436
2.8846007140900403,3394
-2.104531642244909,3222
-0.7096599810450716,3618
4.299589582731348,2631
2.5464231401358624,4113
-2.3561109109050604,2785
0.7258008640039745,2885
1.9741806904056851,2895
-0.3294751536507099,1909
-2.122671417414098,1861
-0.6961597882408009,2116
0.6036332965074425,2829
-1.3060425373396982,1521
0.1752131201092224,2446
-0.4092860655550466,2528
0.1953017754427795,2677
-0.0610001620437357,2361
-0.6765465211902246,2005
0.3113294629968177,2600
-1.0797989344476795,1645
-0.7637543421881267,2066
2.012953555484062,1553
2.0839451023096984,1540
0.6584227475317406,1627
2.3898880310164747,1203
1.010503888124053,1253
-1.2081074046141216,1314
4.756391974530427,1733
-0.1990657163525033,1803
1.210296880652631,1624
-1.983162992298512,1855
-0.4580026206296241,1401
-0.5985378467284437,1534
0.4419963815768743,1282
-3.02295867206114,1389
0.9617691407989206,1232
0.2885982875335825,1262
1.4364314448190507,1446
1.0767062203489954,1888
0.4000165945830608,1906
-0.6306906185540391,2097
1.229713377248057,1810
2.5229886594375324,2730
-1.4811201732940782,2987
-1.568811474806565,3954
1.8828375136582385,3049
2.7416864845898155,3133
1.148667876140785,2926
0.4387877592249879,2741
-0.0956489442194913,2135
1.8435153103245905,2809
3.624330727604228,2272
-3.4328260621715447,2010
-0.1173445751068252,1861
-1.189358785839739,1295
-0.7523685682543492,1543
