PTS,AST,REB,STL,BLK,TOV,PF,FGA,FG3A,PLAYER_ID,PLAYER_NAME,SEASON,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_TOV_PCT,E_USG_PCT,FGA_Above the Break 3,FGA_Backcourt,FGA_In The Paint (Non-RA),FGA_Left Corner 3,FGA_Mid-Range,FGA_Restricted Area,FGA_Right Corner 3,FG_PCT_Above the Break 3,FG_PCT_Backcourt,FG_PCT_In The Paint (Non-RA),FG_PCT_Left Corner 3,FG_PCT_Mid-Range,FG_PCT_Restricted Area,FG_PCT_Right Corner 3,PCT_AST_FGM_Above the Break 3,PCT_AST_FGM_Backcourt,PCT_AST_FGM_In The Paint (Non-RA),PCT_AST_FGM_Left Corner 3,PCT_AST_FGM_Mid-Range,PCT_AST_FGM_Restricted Area,PCT_AST_FGM_Right Corner 3,Offensive_RAPM,Defensive_RAPM
2.75,0.25,3.5,0.125,0.625,0.0,1.5,3.375,0.0,1627293,Alex Stepheson,2015-16,5.8,0.202,0.122,0.0,0.17,0.0,0.0,8.0,0.0,2.0,17.0,0.0,0.0,0.0,0.125,0.0,0.5,0.412,0.0,0.0,0.0,1.0,0.0,1.0,0.143,0.0,0.0,0.0
5.966101694915254,0.5254237288135594,4.559322033898305,0.3220338983050847,0.6101694915254238,0.9152542372881356,2.2711864406779663,5.338983050847458,0.0169491525423728,201582,Alexis Ajinca,2015-16,7.3,0.094,0.257,12.638,0.206,1.0,0.0,73.0,0.0,139.0,102.0,0.0,0.0,0.0,0.329,0.0,0.446,0.627,0.0,0.0,0.0,0.583,0.0,0.935,0.672,0.0,-0.8462430382615402,1.343134918099917
10.271604938271604,1.2222222222222223,2.6666666666666665,0.7777777777777778,0.1975308641975308,0.7901234567901234,2.3703703703703702,8.37037037037037,3.5185185185185186,203459,Allen Crabbe,2015-16,11.1,0.014,0.097,7.185,0.163,194.0,1.0,43.0,46.0,252.0,98.0,43.0,0.381,0.0,0.442,0.478,0.448,0.684,0.372,0.946,0.0,0.737,1.0,0.779,0.761,1.0,-0.4098096974376525,-0.245126032228951
4.452054794520548,0.9863013698630136,3.356164383561644,0.863013698630137,0.1780821917808219,0.7534246575342466,2.315068493150685,3.493150684931507,0.821917808219178,202087,Alonzo Gee,2015-16,17.5,0.039,0.126,13.381,0.092,7.0,0.0,15.0,27.0,28.0,151.0,27.0,0.143,0.0,0.333,0.296,0.25,0.682,0.296,1.0,0.0,0.2,1.0,0.857,0.709,1.0,-1.7447509395418184,0.7980613374863995
5.769230769230769,0.5192307692307693,4.269230769230769,0.3461538461538461,0.7884615384615384,0.903846153846154,1.7692307692307692,4.25,0.0,2405,Amar'e Stoudemire,2015-16,8.3,0.101,0.229,14.485,0.18,0.0,0.0,31.0,0.0,44.0,146.0,0.0,0.0,0.0,0.452,0.0,0.455,0.623,0.0,0.0,0.0,0.429,0.0,0.9,0.714,0.0,0.2594630916770044,-0.5314233785011104
7.30379746835443,1.7468354430379749,6.39240506329114,0.6582278481012658,1.0506329113924051,1.1898734177215189,2.7088607594936707,5.39240506329114,0.5443037974683544,101161,Amir Johnson,2015-16,19.4,0.104,0.194,13.216,0.137,32.0,1.0,101.0,6.0,16.0,266.0,4.0,0.156,0.0,0.515,0.5,0.375,0.68,0.5,1.0,0.0,0.654,1.0,0.5,0.669,1.0,0.5806759036564375,0.4718349198477511
2.60377358490566,0.660377358490566,2.660377358490566,0.3018867924528302,0.1886792452830188,0.4150943396226415,1.320754716981132,2.339622641509434,0.0188679245283018,2760,Anderson Varejao,2015-16,17.2,0.079,0.23,10.837,0.147,1.0,0.0,29.0,0.0,45.0,49.0,0.0,0.0,0.0,0.448,0.0,0.311,0.531,0.0,0.0,0.0,0.615,0.0,0.929,0.654,0.0,-0.4962617784285045,1.2916712007489537
2.60377358490566,0.660377358490566,2.660377358490566,0.3018867924528302,0.1886792452830188,0.4150943396226415,1.320754716981132,2.339622641509434,0.0188679245283018,2760,Anderson Varejao,2015-16,17.2,0.079,0.23,10.837,0.147,1.0,0.0,29.0,0.0,45.0,49.0,0.0,0.0,0.0,0.448,0.0,0.311,0.531,0.0,0.0,0.0,0.615,0.0,0.929,0.654,0.0,-0.7248270782706911,-1.168163807593279
16.22222222222222,0.8271604938271605,14.790123456790123,1.469135802469136,1.382716049382716,1.9135802469135803,3.0246913580246915,13.08641975308642,0.074074074074074,203083,Andre Drummond,2015-16,4.4,0.153,0.343,10.066,0.24,2.0,4.0,322.0,0.0,64.0,668.0,0.0,0.5,0.25,0.422,0.0,0.25,0.596,0.0,0.0,0.0,0.551,0.0,0.5,0.528,0.0,0.1783037871915839,1.6553008301209513
7.030769230769231,3.3692307692307693,4.046153846153846,1.123076923076923,0.2923076923076923,1.2153846153846153,1.5692307692307692,5.661538461538462,2.3692307692307693,2738,Andre Iguodala,2015-16,31.2,0.034,0.127,11.245,0.12,91.0,3.0,24.0,27.0,69.0,121.0,33.0,0.308,0.0,0.375,0.481,0.391,0.711,0.394,0.893,0.0,0.444,1.0,0.407,0.721,1.0,1.1365699824772202,1.3802674369029144
3.692307692307693,2.230769230769231,1.3076923076923077,0.4102564102564102,0.0,0.9487179487179488,1.1794871794871795,2.717948717948718,0.2051282051282051,1889,Andre Miller,2015-16,35.6,0.036,0.101,15.159,0.162,4.0,3.0,20.0,1.0,28.0,50.0,0.0,0.5,0.0,0.6,0.0,0.5,0.62,0.0,1.0,0.0,0.083,0.0,0.143,0.516,0.0,0.8516000037927357,-0.7728474842096009
4.814285714285714,0.6714285714285714,3.585714285714286,0.7571428571428571,0.6,0.5,1.9,3.914285714285714,1.4714285714285715,203460,Andre Roberson,2015-16,12.4,0.06,0.113,9.216,0.093,22.0,1.0,10.0,54.0,5.0,156.0,25.0,0.182,0.0,0.4,0.315,0.0,0.641,0.44,0.75,0.0,1.0,1.0,0.0,0.7,1.0,-0.1957951417579405,0.7696437953189165
6.608695652173913,0.391304347826087,2.108695652173913,0.0869565217391304,0.1956521739130435,0.5652173913043478,1.326086956521739,6.065217391304348,0.3478260869565217,200745,Andrea Bargnani,2015-16,5.2,0.047,0.135,7.47,0.234,15.0,1.0,48.0,0.0,170.0,45.0,0.0,0.2,0.0,0.542,0.0,0.447,0.489,0.0,1.0,0.0,0.846,0.0,0.921,0.682,0.0,-0.9328041212489392,-1.5775717168595191
5.357142857142857,2.3142857142857145,7.0285714285714285,0.4714285714285714,1.6285714285714286,1.1857142857142855,3.157142857142857,3.9857142857142858,0.0142857142857142,101106,Andrew Bogut,2015-16,29.7,0.094,0.252,15.201,0.116,1.0,0.0,72.0,0.0,10.0,196.0,0.0,1.0,0.0,0.347,0.0,0.3,0.745,0.0,0.0,0.0,0.88,0.0,0.333,0.753,0.0,-0.6449457178598383,1.1937678658912445
2.75,0.5,0.25,0.75,0.25,0.875,0.5,2.5,1.125,202726,Andrew Goudelock,2015-16,12.2,0.024,0.015,21.368,0.243,7.0,0.0,6.0,2.0,5.0,0.0,0.0,0.143,0.0,0.667,0.0,0.8,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
6.857142857142857,0.4464285714285714,3.5892857142857144,0.1785714285714285,0.3928571428571428,0.7321428571428571,1.2321428571428572,5.535714285714286,2.0357142857142856,203094,Andrew Nicholson,2015-16,6.2,0.045,0.216,10.133,0.209,95.0,0.0,78.0,14.0,46.0,72.0,5.0,0.347,0.0,0.5,0.5,0.391,0.667,0.2,0.97,0.0,0.205,1.0,0.389,0.479,1.0,-0.7227630313745009,1.76242059077865
20.679012345679013,2.0246913580246915,3.592592592592593,0.9629629629629628,0.5679012345679012,2.246913580246914,2.037037037037037,15.975308641975309,2.345679012345679,203952,Andrew Wiggins,2015-16,8.7,0.043,0.074,9.637,0.269,159.0,1.0,200.0,21.0,454.0,450.0,9.0,0.283,0.0,0.47,0.476,0.341,0.64,0.222,0.778,0.0,0.436,1.0,0.484,0.549,1.0,0.6208352844004441,0.2211978162502848
