Player,Player_Name,Team,Offensive_RAPM,Defensive_RAPM,Total_RAPM,Season
2544,LeBron James,LAL,3.4285432415537804,0.7278259077333521,4.156369149287133,23
101108,Chris Paul,GSW,-0.2861628013992643,1.5788854777436936,1.2927226763444293,23
200768,Kyle Lowry,MIA,-0.3157903864571502,-0.0951193356252188,-0.410909722082369,23
200768,Kyle Lowry,PHI,-0.978630543338348,0.5162717941481463,-0.4623587491902016,23
200782,P.J. Tucker,LAC,-0.3129907454744126,-1.0586088245131864,-1.3715995699875991,23
201142,Kevin Durant,PHX,1.659888890801723,-0.3200981143193377,1.339790776482385,23
201143,Al Horford,BOS,1.6678144957217114,0.4231503951308764,2.090964890852588,23
201144,Mike Conley,MIN,-0.8977419491292981,0.3932437265408312,-0.5044982225884669,23
201145,Jeff Green,HOU,-1.3792245021196692,-1.589972592009899,-2.969197094129568,23
201152,Thaddeus Young,TOR,0.7350849288373285,-1.353225506772238,-0.6181405779349093,23
201565,Derrick Rose,MEM,-0.3866351055098009,0.7588924335409306,0.3722573280311296,23
201566,Russell Westbrook,LAC,0.0459837677200707,-0.381763906264984,-0.3357801385449133,23
201567,Kevin Love,MIA,0.4885088879281339,1.2219491701732386,1.7104580581013724,23
201568,Danilo Gallinari,WAS,0.3037168175635675,-0.6455318947173643,-0.3418150771537967,23
201569,Eric Gordon,PHX,0.0439555662304551,-0.1531229579353305,-0.1091673917048754,23
201572,Brook Lopez,MIL,0.8718461449318923,0.3795946113690411,1.2514407563009335,23
201580,JaVale McGee,SAC,-0.7178001890954211,-0.2028994551212148,-0.920699644216636,23
201587,Nicolas Batum,PHI,1.1619661627236124,-0.371126221080412,0.7908399416432004,23
201599,DeAndre Jordan,DEN,-1.5119071915685145,-0.7949577105551853,-2.3068649021237,23
201935,James Harden,LAC,2.728977721160787,-1.4055650369033732,1.323412684257414,23
201939,Stephen Curry,GSW,1.5851905959149557,-0.3840296220804763,1.201160973834479,23
201942,DeMar DeRozan,CHI,1.180916757942572,-0.8444828107741423,0.3364339471684296,23
201950,Jrue Holiday,BOS,1.5762429269528884,0.0819104030579768,1.6581533300108653,23
201976,Patrick Beverley,MIL,-0.6701270660446479,-0.5522589568645184,-1.2223860229091663,23
201976,Patrick Beverley,PHI,-1.9998724146860565,1.5694653678173576,-0.4304070468686988,23
201988,Patty Mills,ATL,-1.1052991481104602,-0.1553276152507144,-1.2606267633611747,23
202066,Garrett Temple,TOR,-0.6082182027102025,0.5048006481513126,-0.1034175545588898,23
202083,Wesley Matthews,ATL,-1.3776297825582111,-0.6753553865314027,-2.052985169089614,23
202330,Gordon Hayward,CHA,-0.0855713188512183,-0.0543367069883959,-0.1399080258396142,23
202330,Gordon Hayward,OKC,-0.4038705988144829,-1.1816883368522737,-1.5855589356667563,23
202331,Paul George,LAC,3.921600949170441,1.0540552085233477,4.9756561576937886,23
202397,Ish Smith,CHA,-1.4336123913928356,-1.0995599592143857,-2.533172350607221,23
202681,Kyrie Irving,DAL,2.765720036097618,0.8279037197872948,3.593623755884913,23
202684,Tristan Thompson,CLE,-0.3268854290854321,-0.0347038036398262,-0.3615892327252584,23
202685,Jonas Valančiūnas,NOP,1.927200804201733,-1.0468913618697135,0.8803094423320196,23
202687,Bismack Biyombo,MEM,0.6374554679948014,-0.0670806689020004,0.570374799092801,23
202691,Klay Thompson,GSW,0.9377301981886772,-2.059944295731316,-1.1222140975426391,23
202692,Alec Burks,DET,-0.3858667756742388,-1.7370210075054064,-2.122887783179645,23
202692,Alec Burks,NYK,-1.3181485215773556,0.0290927613444346,-1.289055760232921,23
202693,Markieff Morris,DAL,-1.5642873155245398,-0.5306234621023009,-2.0949107776268407,23
202694,Marcus Morris Sr.,CLE,-1.0846125417656074,-0.3883431294585299,-1.4729556712241374,23
202694,Marcus Morris Sr.,PHI,-0.2188189083584778,-0.1633945657421787,-0.3822134741006565,23
202695,Kawhi Leonard,LAC,1.4525930280977006,2.62328556519528,4.07587859329298,23
202696,Nikola Vučević,CHI,-0.0279080154780636,-1.0962523198108127,-1.1241603352888765,23
202699,Tobias Harris,PHI,1.3640234042605897,-0.0726685014960531,1.2913549027645363,23
202704,Reggie Jackson,DEN,-1.3582746397512335,-0.2693688230163807,-1.6276434627676146,23
202709,Cory Joseph,GSW,0.8951094197452747,-0.1701074515856465,0.7250019681596281,23
202710,Jimmy Butler III,MIA,3.067930119926332,0.7520190492704968,3.819949169196829,23
202711,Bojan Bogdanovic,DET,0.9010332841252556,-2.461229152431387,-1.5601958683061312,23
202711,Bojan Bogdanovic,NYK,-1.0585433062400749,-0.9101105011590214,-1.968653807399096,23
202722,Davis Bertans,CHA,-1.0253183692579195,-0.1418723631369378,-1.1671907323948574,23
203076,Anthony Davis,LAL,1.753542816172324,1.037426291820367,2.7909691079926904,23
203078,Bradley Beal,PHX,0.7815247030194958,-1.051190922291819,-0.269666219272323,23
203081,Damian Lillard,MIL,2.918947125934148,1.8738103693307653,4.792757495264914,23
203083,Andre Drummond,CHI,-0.0397192676435829,-0.0307285671797283,-0.0704478348233113,23
203084,Harrison Barnes,SAC,-0.8464426336080988,-1.241114009679244,-2.0875566432873427,23
203095,Evan Fournier,DET,-2.3121567098476232,0.641803242473355,-1.6703534673742682,23
203109,Jae Crowder,MIL,-1.7793251351224364,-1.8958501888863015,-3.675175324008738,23
203110,Draymond Green,GSW,0.6775987830203558,1.4551808390723886,2.132779622092744,23
203114,Khris Middleton,MIL,0.4558858618027827,-1.004543072274744,-0.5486572104719611,23
