Player Pair,Possessions Played,Hybrid Offensive RAPM,Hybrid Defensive RAPM,Total Hybrid RAPM,Season,Pair Names
"(162617904, 164170604)",1311,1.8539605646048913,0.42634897306232444,2.2803095376672156,23,"('Terry Rozier', 'Brandon Miller')"
"(162617904, 162897004)",1716,0.8345873497067247,-1.202082237608797,-0.3674948879020723,23,"('Terry Rozier', 'Miles Bridges')"
"(20233004, 164170604)",1226,1.2213007219715777,1.7979570518713999,3.0192577738429778,23,"('Gordon Hayward', 'Brandon Miller')"
"(162897004, 164170604)",3702,1.596204826604896,-0.4314008472251672,1.164803979379729,23,"('Miles Bridges', 'Brandon Miller')"
"(162902304, 164170604)",1617,0.9821738626968538,0.08187969836331131,1.0640535610601651,23,"('P.J. Washington', 'Brandon Miller')"
"(163020804, 164170604)",2817,-1.1493179463265164,-0.5380965177550634,-1.6874144640815798,23,"('Nick Richards', 'Brandon Miller')"
"(162897004, 163020804)",2608,0.6453319285144493,0.48119858863108045,1.1265305171455298,23,"('Miles Bridges', 'Nick Richards')"
"(20239704, 162897004)",1219,0.27673148843956313,-0.07456313245389508,0.20216835598566807,23,"('Ish Smith', 'Miles Bridges')"
"(162897004, 162902304)",1478,1.3874058001418945,0.49477263945425837,1.882178439596153,23,"('Miles Bridges', 'P.J. Washington')"
"(162897004, 163112104)",1223,-1.7864939470522356,-0.22327411158787874,-2.0097680586401143,23,"('Miles Bridges', 'Bryce McGowens')"
"(20233113, 20269513)",3733,2.724522123244651,1.5132697843986682,4.237791907643319,23,"('Paul George', 'Kawhi Leonard')"
"(20269513, 162961113)",2892,1.7755564225956457,-0.8669503341060042,0.9086060884896415,23,"('Kawhi Leonard', 'Terance Mann')"
"(20193513, 20269513)",3648,-2.4010964837379323,0.6429777516061396,-1.7581187321317926,23,"('James Harden', 'Kawhi Leonard')"
"(20233113, 162961113)",3033,0.5049905015401192,0.33117863246294615,0.8361691340030653,23,"('Paul George', 'Terance Mann')"
"(20193513, 20233113)",4008,1.995195936677672,0.2958068347379852,2.2910027714156573,23,"('James Harden', 'Paul George')"
"(20193513, 162961113)",3202,0.3674869822498264,-0.23549714894454854,0.13198983330527786,23,"('James Harden', 'Terance Mann')"
"(20156613, 20269513)",1976,-0.3335373388706957,1.7272547529520725,1.3937174140813768,23,"('Russell Westbrook', 'Kawhi Leonard')"
"(20156613, 20233113)",2042,0.28554561362952696,-1.1970507875341796,-0.9115051739046527,23,"('Russell Westbrook', 'Paul George')"
"(20156613, 20193513)",1543,-0.6125009790504392,-2.3042943062810264,-2.9167952853314656,23,"('Russell Westbrook', 'James Harden')"
"(20156613, 162618113)",2573,0.41653693722064516,-1.138315618154959,-0.7217786809343139,23,"('Russell Westbrook', 'Norman Powell')"
"(20269513, 162618113)",2214,-0.22444902517579757,0.693015306866017,0.4685662816902194,23,"('Kawhi Leonard', 'Norman Powell')"
"(20193513, 162618113)",2574,1.1028222407582362,1.8749478042069556,2.977770044965192,23,"('James Harden', 'Norman Powell')"
"(20156613, 162846413)",1247,-0.5708047367768647,-0.5595648425032296,-1.1303695792800943,23,"('Russell Westbrook', 'Daniel Theis')"
"(162618113, 162846413)",1688,0.9088264826416692,0.8622893316694729,1.771115814311142,23,"('Norman Powell', 'Daniel Theis')"
"(162846413, 162959913)",1236,0.7184415271927784,-0.6217203921472023,0.09672113504557611,23,"('Daniel Theis', 'Amir Coffey')"
"(20156613, 162959913)",1428,0.10810460151520573,0.20795563129118147,0.3160602328063872,23,"('Russell Westbrook', 'Amir Coffey')"
"(162618113, 162959913)",2102,1.3315473634652397,-0.2858665333548751,1.0456808301103646,23,"('Norman Powell', 'Amir Coffey')"
"(20269513, 162959913)",1248,-0.7720200950453302,0.35333144646955106,-0.41868864857577914,23,"('Kawhi Leonard', 'Amir Coffey')"
"(20193513, 162959913)",1735,2.7904124106885253,-1.3610544539754819,1.4293579567130434,23,"('James Harden', 'Amir Coffey')"
"(20233113, 162959913)",1292,-0.7841523940379544,-1.647974006226443,-2.4321264002643974,23,"('Paul George', 'Amir Coffey')"
"(20233113, 162618113)",2376,2.2345803324755016,1.5088045345960486,3.7433848670715504,23,"('Paul George', 'Norman Powell')"
"(163020027, 163057727)",2264,-0.09461699905447528,-0.16368875364561203,-0.2583057527000873,23,"('Tre Jones', 'Julian Champagnie')"
"(162838027, 163020027)",1515,-2.1000818527187817,0.9918752188079974,-1.1082066339107843,23,"('Zach Collins', 'Tre Jones')"
"(162793605, 162963205)",3321,-0.9281543088654168,1.2801629519712856,0.35200864310586877,23,"('Alex Caruso', 'Coby White')"
"(20194205, 162793605)",3866,0.25832894671742107,0.9794467310141556,1.2377756777315767,23,"('DeMar DeRozan', 'Alex Caruso')"
"(20308305, 162793605)",1460,1.526401021453109,-0.1031429615061874,1.4232580599469216,23,"('Andre Drummond', 'Alex Caruso')"
"(20194205, 162963205)",5046,0.48418718063431104,0.3968521227620027,0.8810393033963138,23,"('DeMar DeRozan', 'Coby White')"
"(20308305, 162963205)",1886,2.4241537565361444,0.6985058096456471,3.1226595661817917,23,"('Andre Drummond', 'Coby White')"
"(162963205, 163017205)",2056,2.8712255390974826,1.5289373054066058,4.400162844504088,23,"('Coby White', 'Patrick Williams')"
"(20194205, 20308305)",2422,0.3887905013716571,-1.205000365111618,-0.8162098637399609,23,"('DeMar DeRozan', 'Andre Drummond')"
"(20194205, 163017205)",1830,-0.09882129779735958,-1.5192627866470492,-1.6180840844444087,23,"('DeMar DeRozan', 'Patrick Williams')"
